id,NO DE OBRA PICASO / OFICIO DE APROBACIÓN / NÚMERO DE CONTRATO,SIGLAS DEPENDENCIA O ENTIDAD EJECUTORA,TIPO,NOMBRE DEL PROGRAMA PRESUPUESTARIO,NOMBRE DE LA OBRA/ACCIÓN/PROYECTO,FF FEDERAL,FUENTE FEDERAL,IMPORTE (Aprobado),FF ESTATAL,FUENTE ESTATAL,IMPORTE,FF RECURSOS PROPIOS,RECURSOS PROPIOS,IMPORTE,FF MUNICIPAL,FUENTE MUNICIPAL,IMPORTE,IMPORTE CONTRATADO,IMPORTE  EJERCIDO,LOCALIDAD DE LA OBRA,MUNICIPIO DE LA OBRA,"FECHA 
INICIO","FECHA
FIN",fecha_c,fecha_u_m
66,CEI/DA/000150/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO E INFRAESTRUCTURA DE VARIAS CALLES DE LA COLONIA NIÑOS HÉROES,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $46,203,187.39 ",,COL. NIÑOS HÉROES,QUERÉTARO,07/03/2018,06/07/2018,08/06/2019,
67,2017-01092,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO URBANO COSNSITENTE EN LA COSNTRUCCION DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO Y CONSTRUCCION DE RED DE DISTRIBUCION DE AGUA POTABLE EN LA CALLE JARDINES DE LA HACIENDA Y TRES TRAMOS DE CALLES SIN NOMBRE EN LA COLONIA MARAVILLAS

MEJORAMIENTO DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO EN EL CAMINO QUE CONECTA A LA COL BOSQUES DE ITURBIDE",,,,F01,GEQ PA 2017," $3,846,727.23 ",,,,,,," $3,790,067.61 "," $3,682,347.50 ",BOSQUES DE ITURBIDE,QUERÉTARO,28/12/2017,26/04/2018,08/06/2019,
68,2018-00180,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLES 15, 7, 6, 4, 2, EN LA COLONIA LA CONDESA, MUNICIPIO DE QUERÉTARO, QRO",,,,F18,GEQ PA 2018," $10,994,935.59 ",,,,,,," $10,630,600.44 "," $10,399,072.49 ",LA CONDESA,QUERÉTARO,14/05/2018,10/10/2018,08/06/2019,
69,2018-00191,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLE CERRADA EN LA COLONIA MIRADOR DEL CIMATARIO, MUNICIPIO DE QUERÉTARO, QRO",,,,43E,ISN 2018," $1,859,714.63 ",,,,,,," $1,790,362.69 "," $1,715,935.92 ",MIRADOR DEL CIMATARIO,QUERÉTARO,20/04/2018,18/06/2018,08/06/2019,
70,CEI/DA/00121/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE AV. PIRINEOS COLONIA SATELITE,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $19,113,977.37 ",,SATELITE,QUERÉTARO,09/03/2018,06/06/2018,08/06/2019,
71,2018-00171,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLE UNIDAD EN LA COL. UNIDAD NACIONAL, MUNICIPIO DE QUERÉTARO, QRO.",,,,F18,GEQ PA 2018," $2,732,237.31 ",,,,,,," $2,656,910.48 "," $2,607,898.44 ",UNIDAD NACIONAL,QUERÉTARO,21/05/2018,17/09/2018,08/06/2019,
72,2018-00121,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"PAVIMENTACION EN AVENIDA DE LA PIEDRA , COLONIA SATÉLITE, MUNICIPIO DE QUERÉTARO",,,,F18,GEQ PA 2018," $13,614,380.07 ",,,,,,," $13,175,603.75 "," $11,758,516.25 ",SATELITE,QUERÉTARO,07/03/2018,28/06/2018,08/06/2019,
73,CEI/DA/00119/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO Y AGUA POTABLE EN CALLES VISTA BONITA Y LABNA, COLONIA CONSTELACIÓN",,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $3,948,129.11 ",,COL CONSTELACIÓN Y BELLAVISTA,QUERÉTARO,09/03/2018,07/05/2018,08/06/2019,
74,2017-01116,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO URBANO EN LAS CALLES DE TOLIMAN, CERRO GORDO, SAN FELIPE, ENCINOS, SAN JOAQUIN, PEÑAMILLER, BERNAL, LANDA DE MATAMOROS, CERRO DEL CUBILETE (CAMARGO) CONSISTENTE EN LA CONSTRUCCIÓN DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO Y CONSTRUCCION DE DRENAJE SANITARIO EN LA CALLE DE CERRO GORDO, COLONIA COLINAS DE MENCHACA II, MUNICIPIO DE QUERETARO, QRO",,,,F01,GEQ PA 2017," $15,147,028.50 ",,,,,,," $15,047,991.15 "," $13,104,445.80 ",COLINAS DE MENCHACA II,QUERÉTARO,17/01/2018,16/04/2018,08/06/2019,
75,CEI/DA/00090/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLE MAUNA LOA, COLONIA SATELITE",,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $3,280,714.36 ",,SATELITE,QUERÉTARO,19/02/2018,19/04/2018,08/06/2019,
76,CEI/DA/00088/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE CALLES EN LA COLONIA CASA BLANCA,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $8,268,365.84 ",,CASA BLANCA,QUERÉTARO,19/02/2018,19/05/2018,08/06/2019,
77,CEI/DA/00118/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE VARIAS CALLES DE LA COLONIA ALCANFORES,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $7,939,980.33 ",,ALCANFORES,QUERÉTARO,07/03/2018,15/05/2018,08/06/2019,
78,CEI/DA/00113/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE VIALIDAD EN SANTA ROSA JAUREGUI,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $11,854,619.40 ",,SANTA ROSA JAUREGUI,QUERÉTARO,07/05/2018,04/08/2018,08/06/2019,
79,2018-00727,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,EMPEDRADO AHOGADO EN MORTERO EN CALLE NIÑOS HÉROES,26O,FAFEF 2018," $29,505,137.29 ",,,,,,,,,," $29,476,127.10 "," $26,581,825.17 ",SANTA CATARINA,QUERÉTARO,06/07/2018,03/10/2018,08/06/2019,
80,2018-00661,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE LA CALLE LAJAS,26O,FAFEF 2018," $4,804,465.75 ",,,,,,,,,," $4,665,869.79 "," $4,665,869.24 ","LA ""D"" CHALMITA",PEDRO ESCOBEDO,25/06/2018,23/08/2018,08/06/2019,
81,2018-00657,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE LA CALLE JUAREZ,26O,FAFEF 2018," $2,881,339.57 ",,,,,,,,,," $2,750,385.67 "," $2,750,383.84 ",LA PALMA,PEDRO ESCOBEDO,25/06/2018,23/08/2018,08/06/2019,
82,2018-00660,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,AMPLIACIÓN DE RED ELECTRICA CALLE MERCURIO,26O,FAFEF 2018," $1,183,605.49 ",,,,,,,,,," $1,124,242.68 "," $1,063,334.42 ",COL. ESTRELLA,PEDRO ESCOBEDO,25/06/2018,23/08/2018,08/06/2019,
83,2018-00411,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,CIRCULADO PERIMETRAL DE PREESCOLAR,,,,43E,ISN 2018," $500,000.00 ",,,,,,," $499,563.55 "," $499,273.11 ",LOS RIOS,CADEREYTA,03/05/2018,01/07/2018,08/06/2019,
84,2018-00412,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,CIRCULADO PERIMETRAL DE PREESCOLAR,,,,43E,ISN 2018," $600,000.00 ",,,,,,," $597,241.52 "," $597,232.08 ",PORTEZUELO,CADEREYTA,03/05/2018,01/07/2018,08/06/2019,
85,2018-00436,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,PAVIMENTO DE EMPEDRADO EN CALLE PUERTO TAMPICO,,,,43E,ISN 2018," $3,000,000.00 ",,,,,,," $2,983,421.89 "," $2,983,407.72 ",PUERTO DE CHIQUIHUITE,CADEREYTA,04/05/2018,03/09/2018,08/06/2019,
86,2018-00756,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,CONSTRRUCCIÓN DE ESPACIOS DE USOS MÚLTIPLES PARA EL ADULTO MAYOR,26O,FAFEF 2018," $4,999,862.94 ",,,,,,,,,," $4,922,884.27 "," $3,544,053.79 ",MENCHACA,QUERÉTARO,17/07/2018,14/10/2018,08/06/2019,
87,2018-00786,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,URBANIZACIÓN DE LA CALLE MONTE SACRO,26O,FAFEF 2018," $6,500,334.91 ",,,,,,,,,," $6,379,000.94 "," $6,139,800.78 ",LOMAS SAN PEDRITO PEÑUELAS,QUERÉTARO,07/09/2018,05/11/2018,08/06/2019,
88,2018-00873,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,TRABAJOS COMPLEMENTARIOS DE URBANIZACIÓN,,,,F18,GEQ PA 2018," $24,641,852.84 ",,,,,,," $23,561,172.68 "," $9,186,388.62 ",LA ERA I,QUERÉTARO,03/10/2018,31/12/2018,08/06/2019,
89,2018-00863,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,URBANIZACIÓN EN CALLES ANAHUAC Y TENOCHTITLAN,,,,F18,GEQ PA 2018," $1,518,540.87 ",,,,,,," $1,473,703.57 "," $1,360,838.88 ",TENOCHTITLAN,QUERÉTARO,03/10/2018,01/12/2018,08/06/2019,
90,2018-00802,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,URBANIZACIÓN EN CALLE DEMETRIO VALLEJO,,,,F18,GEQ PA 2018," $1,826,125.97 ",,,,,,," $1,784,921.38 "," $1,781,827.21 ",PRADOS DEL RINCÓN II,QUERÉTARO,14/09/2018,12/11/2018,08/06/2019,
91,2018-00781                 ,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,URBANIZACIÓN DE CALLES JALISCO,26O,FAFEF 2018," $6,945,147.81 ",,,,,,,,,," $6,931,132.55 "," $6,528,627.02 ",SAN JOSÉ EL ALTO,QUERÉTARO,27/09/2018,25/11/2018,08/06/2019,
92,2018-00787 ,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,URBANIZACIÓN DE CALLES AGUASCALIENTES,26O,FAFEF 2018," $7,525,110.43 ",,,,,,,,,," $7,513,890.97 "," $4,537,081.17 ",SAN JOSÉ EL ALTO,QUERÉTARO,27/09/2018,25/11/2018,08/06/2019,
93,2018-00798,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,URBANIZACIÓN DE CALLES FLOR JAZMIN ,26O,FAFEF 2018," $1,758,751.97 ",,,,,,,,,," $1,712,208.60 "," $1,612,228.35 ",JARDINES DE SAN JOSÉ II,QUERÉTARO,14/09/2018,12/11/2018,08/06/2019,
94,2018-00813,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO URBANO EN LA SIERRITA,26O,FAFEF 2018," $13,495,126.82 ",,,,,,,,,," $13,389,738.25 "," $12,880,166.16 ",LA SIERRITA,QUERÉTARO,14/09/2018,11/01/2019,08/06/2019,
95,2018-00159,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,ALUMBRADO PÚBLICO EN LA CALLE MEDELLÍN Y BOGOTÁ,,,,F18,GEQ PA 2018," $2,085,613.72 ",,,,,,," $1,962,693.36 "," $1,739,479.29 ",CUMBRES DE CONÍN,EL MARQUÉS,06/06/2018,02/12/2018,08/06/2019,
96,2018-00803,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,CONSTRUCCIÓN DE UN MURO EN PROL SAN ROQUE,,,,F18,GEQ PA 2018," $868,057.89 ",,,,,,," $862,488.83 "," $808,364.10 ",SAN ROQUE,QUERÉTARO,11/09/2018,09/11/2018,08/06/2019,
97,2018-00797,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,CONSTRUCCIÓN Y MODERNIZACIÓN DE CAMINOS RURALES,28P,CONV SCT 2018," $127,248,531.18 ",,,,,,,,,," $123,507,464.24 "," $114,223,083.70 ",JESÚS MARÍA,EL MARQUÉS,14/09/2018,02/11/2018,08/06/2019,
98,2018-00179,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLES 8,13 Y 17",,,,F18,GEQ PA 2018," $3,574,224.70 ",,,,,,," $3,446,587.07 "," $3,446,586.45 ",SERGIO VILLASEÑOR,QUERÉTARO,07/09/2018,05/08/2018,08/06/2019,
99,2018-00880,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,TRABAJOS COMPLEMENTARIOS DE MEJORAMIENTO URBANO,,,,F18,GEQ PA 2018," $806,981.32 ",,,,,,," $804,706.29 "," $576,123.43 ",BOSQUES DE ITURBIDE,QUERÉTARO,20/09/2018,18/12/2018,08/06/2019,
100,2018-00875,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"URBANIZACIÓN EN CALLES 1, 2, 3 EN CALLE 15",,,,F18,GEQ PA 2018," $2,119,213.43 ",,,,,,," $2,057,279.73 "," $1,417,390.87 ",BOSQUES DE HACIENDA,QUERÉTARO,05/10/2018,03/12/2018,08/06/2019,
101,2018-00911,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,CONSTRUCCIÓN DE COLECTOR PLUVIAL ,,,,F18,GEQ PA 2018," $27,866,849.78 ",,,,,,," $27,751,808.84 "," $26,044,742.62 ",SAN PEDRITO PEÑUELAS,QUERÉTARO,14/12/2018,13/03/2019,08/06/2019,
102,2018-00977,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MODERNIZACIÓN DE LA CARRETERA ESTATAL 413 DE LA CUEVA,70P,RAMO 23 PROY DES REG 18-3," $79,115,212.76 ",,,,,,,,,," $74,201,144.44 "," $71,345,012.35 ",LA CUEVA,CORREGIDORA,14/12/2018,13/03/2019,08/06/2019,
103,2018-00717,CEIQ,OBRA,,"MODERNIZACIÓN DE LA CARRETERA ESTATAL 431, DEL ENTRONQUE DE LA CARRETERA FEDERAL 57 A LA CARRETERA ESTATAL 420, EL MARQUÉS""",,,,F18,GEQ PA 2018," $112,635,961.16 ",,,,,,," $109,738,004.60 "," $109,029,299.19 ",EL ROSARIO,EL MARQUÉS,25/06/2018,20/01/2019,08/06/2019,
104,2018-00695,CEIQ,OBRA,,"MODERNIZACIÓN CUATRO CARRILES DE LA CARRETERA ESTATAL 420, ENTRONQUE DE LA C.E. 430",,,,F18,GEQ PA 2018," $140,224,984.26 ",,,,,,," $138,144,604.70 "," $132,301,673.19 ",EL ROSARIO,EL MARQUÉS,25/06/2018,27/12/2018,08/06/2019,
105,2018-00694,CEIQ,OBRA,,"MODERNIZACIÓN CUATRO CARRILES DE LA CARRETERA ESTATAL 420, ENTRONQUE DE LA C.E. 431",,,,F18,GEQ PA 2018," $103,027,888.13 ",,,,,,," $101,030,519.15 "," $101,026,410.03 ",EL ROSARIO -EL DURAZNO,EL MARQUÉS,25/06/2018,20/01/2019,08/06/2019,
106,2018-00761,CEIQ,OBRA,,AMPLIACIÓN DE RED ELECTRICA Y ALUMBRADO PÚBLICO,26O,FAFEF 2018," $542,406.21 ",,,,,,,,,," $533,911.08 "," $496,325.98 ",HACIENDA GRANDE,TEQUISQUIAPAN,03/09/2018,01/11/2018,08/06/2019,
107,2018-00931,CEIQ,OBRA,,CONSTRUCCIÓN DE PAVIMENTO HIDRAULICO ,17P,RAMO 23 FFI 18-2," $576,999.98 ",,,,,,,,,," $5,379,895.98 "," $5,151,691.18 ",EL AHORCADO,PEDRO ESCOBEDO,09/10/2018,06/01/2019,08/06/2019,
108,2017-01091,CEIQ,OBRA,,MODERNIZACIÓN DEL ENTRONQUE DE LA CARRETERA FEDERAL 57 SEÑALAMIENTO OPERATIVO,,,,F01,GEQ PA 2017," $14,745,141.69 ",,,,,,," $14,448,771.89 "," $14,448,771.38 ",EL PARAISO,EL MARQUÉS,06/02/2018,06/05/2018,08/06/2019,
109,2018-00987,CEIQ,OBRA,,"MODERNIZACIÓN DE CARRETERA ESTATAL 191, EL LOBO - AGUA ZARCA DEL KM 11+220 AL 14+400",73P,RAMO 23 PROY DES REG 18-4," $24,623,480.00 ",,,,,,,,,," $23,080,921.71 "," $22,766,129.55 ",EL LOBO,LANDA DE MATAMOROS,06/11/2018,24/05/2019,08/06/2019,
110,2018-00901,CEIQ,OBRA,,"MODERNIZACIÓN DE CARRETERA ESTATAL 191, EL LOBO - AGUA ZARCA DEL KM 14+400 AL 17+643.27",56P,RAMO 23 PROY DES REG 18-2," $24,725,000.00 ",,,,,,,,,," $23,231,960.70 "," $22,713,114.07 ",EL LOBO,LANDA DE MATAMOROS,08/10/2018,25/01/2019,08/06/2019,
111,2018-00915,CEIQ,OBRA,,CENTRO DE RAQUETA PARQUE QUERÉTARO 2000,,,,F18,GEQ PA 2018," $29,357,809.71 ",,,,,,," $28,660,978.57 "," $26,007,631.79 ",PARQUE QUERÉTARO 2000,QUERÉTARO,05/11/2018,24/03/2019,08/06/2019,
112,DG/DA/00561/2018,CEIQ,OBRA,,"REMODELACIÓN DE AULAS COCINA PARA EL SEDIF EN LOS MUNICIPIOS DE JALPAN DE SERRA, LANDA DE MATAMOROS, PINAL DE AMOLES.",,,,,PROGRAMA DE SERVICIOS ALIMENTARIOS PARA LA ASISTENCIA SOCIAL,,,,,,,," $5,798,269.98 ",,ZONA SERRANA,ZONA SERRANA,16/07/2018,12/12/2018,08/06/2019,
113,2018-00933,CEIQ,OBRA,,"AMPLIACIÓN DE CAMINO ""EL SAUZ"" EN EL TRAM KM 0+000 AL 4+100, PEDRO ESCOBEDO",55P,RAMO 23 PROG REG 2018-2," $64,288,994.59 ",,,,,,,,,," $60,962,910.83 "," $27,834,221.55 ",EL SAUZ,PEDRO ESCOBEDO,24/10/2018,04/05/2019,08/06/2019,
114,2018-00789,CEIQ,OBRA,,"MEJORAMIENTO DE CALLE LOS SAUCES EN LA LOCALIDAD EL SAUZ, TEQUISQUIAPAN",,,,43E,ISN 2018," $3,091,999.99 ",,,,,,," $3,059,603.69 "," $2,754,944.57 ",EL SAUZ,TEQUISQUIAPAN,03/09/2018,20/12/2018,08/06/2019,
115,2018-01046,CEIQ,OBRA,,REHABILITACION DEL CAMINO A BOYECITO,,,,F18,GEQ PA 2018," $15,561,886.26 ",,,,,,," $14,832,851.06 "," $14,828,862.27 ",EL BOYECITO,CADEREYTA,19/11/2018,24/02/2019,08/06/2019,
116,2017-01115,CEIQ,OBRA,,MODERNIZACIÓN DEL ENTRONQUE DE LA CARRETERA FEDERAL A MÉXICO CF 57 Y CE 100,,,,F01,GEQ PA 2017," $9,526,691.63 ",,,,,,," $9,487,797.64 "," $9,487,794.63 ",EL PARAISO,EL MARQUÉS,27/01/2018,27/03/2018,08/06/2019,
117,2018-00473,P.M. SAN JOAQUIN,OBRA,,AMPLIACION DE RED DE DRENAJE SANITARIO,30O,FISE 2018," $2,000,000.00 ",,,,,,,,,," $1,999,930.79 "," $1,999,930.79 ",SANTA ANA,SAN JOAQUÍN,16/05/2018,31/07/2018,08/06/2019,
118,2018-00456,P.M. SAN JOAQUIN,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $1,250,000.00 ",,,,,,,,,," $1,249,321.26 "," $1,249,321.26 ",NUEVO SAN JOAQUÍN,SAN JOAQUÍN,01/05/2018,03/08/2018,08/06/2019,
119,2018-00457,P.M. SAN JOAQUIN,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $997,756.06 "," $997,756.04 ",PUERTO LA LAGUNA,SAN JOAQUÍN,24/05/2018,31/07/2018,08/06/2019,
120,2018-00455,P.M. SAN JOAQUIN,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $999,502.92 "," $999,502.92 ",BARRIO LA GRUTA ,SAN JOAQUÍN,08/05/2018,31/07/2018,08/06/2019,
121,2018-00664,P.M. TOLIMÁN,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $450,000.00 ",,,,,,,,,," $449,641.16 "," $449,174.30 ",EL GRANGENO,TOLIMÁN,12/06/2018,26/07/2018,08/06/2019,
122,2018-00470,P.M. TOLIMÁN,OBRA,,CONSTRUCCIÓN DE TANQUE ELEVADO,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $997,730.29 "," $997,345.01 ",EL GRANGENO,TOLIMÁN,18/06/2018,16/08/2018,08/06/2019,
123,2018-00426,P.M. TOLIMÁN,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $517,900.00 ",,,,,,,,,," $517,673.78 "," $517,494.74 ",PUERTO BLANCO,TOLIMÁN,12/06/2018,20/07/2018,08/06/2019,
124,2018-00417,P.M. TOLIMÁN,OBRA,,REHABILITACIÓN DE COLECTOR SANITARIO,30O,FISE 2018," $2,286,107.00 ",,,,,,,,,," $2,270,954.75 "," $2,270,954.75 ",SAN MIGUEL,TOLIMÁN,03/07/2018,25/08/2018,08/06/2019,
125,2018-00332,P.M. PINAL,OBRA,,CONSTRUCCIÓN DE COLECTOR Y RED SANITARIA,30O,FISE 2018," $1,900,000.00 ",,,,,,,,,," $1,889,914.93 "," $1,889,914.91 ",AGUACATLÁN DE GPE,PINAL DE AMOLES,30/04/2018,28/09/2018,08/06/2019,
126,2018-00583,P.M. AMEALCO,OBRA,,AMPLIACIÓN DE RED DE ALCANTARILLADO SANITARIO,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $999,454.92 "," $999,454.92 ",BARRIO I,AMEALCO,30/05/2018,28/07/2018,08/06/2019,
127,2018-00587,P.M. AMEALCO,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $1,670,000.00 ",,,,,,,,,," $1,667,766.45 "," $1,667,766.45 ",EL ATORÓN,AMEALCO,30/05/2018,27/08/2018,08/06/2019,
128,2018-00588,P.M. AMEALCO,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $1,368,399.00 ",,,,,,,,,," $1,361,125.11 "," $1,361,125.11 ",BARRIO III,AMEALCO,30/05/2018,28/08/2018,08/06/2019,
129,2018-00584,P.M. AMEALCO,OBRA,,AMPLIACION DE RED DE ALCANTARILLADO SANITARIO,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $999,674.18 "," $999,674.18 ",BARRIO IV,AMEALCO,30/05/2018,28/07/2018,08/06/2019,
130,2018-00585,P.M. AMEALCO,OBRA,,AMPLIACION DE RED DE ALCANTARILLADO SANITARIO,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $999,718.94 "," $999,718.94 ",BARRIO V,AMEALCO,30/05/2018,28/07/2018,08/06/2019,
131,2018-00377,P.M. ARROYO SECO,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $650,000.00 ",,,,,,,,,," $649,739.42 "," $649,334.92 ",EL SALITRILLO,ARROYO SECO,07/05/2018,31/07/2018,08/06/2019,
132,2018-00378,P.M. ARROYO SECO,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $650,000.00 ",,,,,,,,,," $648,737.17 "," $647,939.42 ",SANTA MARÍA DE LOS COCOS,ARROYO SECO,07/05/2018,31/07/2018,08/06/2019,
133,2018-00376,P.M. ARROYO SECO,OBRA,,AMPLIACIÓN DE RED DE AGUA POTABLE,30O,FISE 2018," $1,050,000.00 ",,,,,,,,,," $1,049,999.98 "," $1,049,999.98 ",LA LOMA,ARROYO SECO,18/05/2018,07/09/2018,08/06/2019,
134,2018-00400,P.M. JALPAN,OBRA,,REHABILITACIÓN DE COLECTOR SANITARIO,30O,FISE 2018," $5,000,000.00 ",,,,,,,,,," $4,997,754.05 "," $4,997,754.05 ",SANTA INÉS,JALPAN,14/05/2018,31/08/2018,08/06/2019,
135,2018-00655,P.M. JALPAN,OBRA,,REHABILITACIÓN DE RED DE AGUA POTABLE,30O,FISE 2018," $4,000,000.00 ",,,,,,,,,," $3,995,654.77 "," $3,995,654.77 ",SOLEDAD DE GUADALUPE,JALPAN,04/06/2018,31/08/2018,08/06/2019,
136,2018-00392,P.M. HUIMILPAN,OBRA,,AMPLIACION Y MEJORA DE ELECTRIFICACIÓN EN VARIAS CALLES,30O,FISE 2018," $2,400,000.00 ",,,,,,,,,," $2,353,975.21 "," $2,342,570.26 ",LAGUNILLAS,HUIMILPAN,23/05/2018,19/09/2018,08/06/2019,
137,2018-00653,P.M. P. ESCOBEDO,OBRA,,AMPLIACIÓN DE RED DE DRENAJE,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $991,993.90 "," $991,993.90 ",AMPLIACIÓN MOCTEZUMA,PEDRO ESCOBEDO,11/06/2018,18/09/2018,08/06/2019,
138,2018-00586,P.M. P. ESCOBEDO,OBRA,,AMPLIACION DE RED DE ENERGÍA ELECTRICA,30O,FISE 2018," $1,000,000.00 ",,,,,,,,,," $994,968.42 "," $994,967.86 ",DOLORES AJUCHITLANCITO,PEDRO ESCOBEDO,28/05/2018,04/09/2018,08/06/2019,
139,2018-00634,P.M. P. ESCOBEDO,OBRA,,AMPLIACIÓN DE RED DE AGUA POTABLE,30O,FISE 2018," $600,000.00 ",,,,,,,,,," $599,162.32 "," $599,162.32 ","LA ""D"" CHALMITA",PEDRO ESCOBEDO,21/05/2018,18/08/2018,08/06/2019,
140,2018-00637,P.M. P. ESCOBEDO,OBRA,,AMPLIACIÓN DE RED DE AGUA POTABLE,30O,FISE 2018," $500,000.00 ",,,,,,,,,," $490,098.81 "," $490,098.81 ","LA ""D"" SANTA BÁRBARA",PEDRO ESCOBEDO,11/05/2018,08/08/2018,08/06/2019,
141,2018-00589,P.M. P. ESCOBEDO,OBRA,,AMPLIACIÓN DE RED DE DRENAJE,30O,FISE 2018," $2,300,000.00 ",,,,,,,,,," $2,288,832.34 "," $2,223,043.71 ",EL CHAMIZAL,PEDRO ESCOBEDO,28/05/2018,04/09/2018,08/06/2019,
142,2018-00459,P.M. E. MONTES,OBRA,,AMPLIACIÓN DE SISTEMA DE AGUA POTABLE,30O,FISE 2018," $14,000,000.00 ",,,,,,,,,," $13,935,530.90 "," $13,935,530.90 ",EL CIERVO ,EZEQUIEL MONTES,14/05/2018,05/0918,08/06/2019,
