id_obra,subobra_id,num_obra,nombre_obra,mmunicipio,localidad,tipo_proyecto,ejecutora,normativa,clasificador_plan_estatal,cantidad_metas,unidad_metas,contratista,inicio_obra,termino_obra,status_obra,avance,monto_aprobado,fondo,ff_federal,importe_federal,aportacion_federal,ff_estatal,importe_esatal,aportacion_estatal,ff_municipal,importe_municipal,aportacion_municipal,ff_otros,imprte_otros,aportacion_otros,ff_recursos_propios,importe_recursos_propios,aportacion_recursos_propios,monto_contratado,monto_ejercido,status,solicitud_baja,baja_justificacion,baja_respuesta
222,,2019-00221,"MODERNIZACIÓN DE CALLE L�?ZARO C�?RDENAS, TRAMO DE ZARAGOZA A 20 DE NOVIEMBRE, CABECERA MUNICIPAL, CADEREYTA DE MONTES, QRO.",CADEREYTA,CADEREYTA,,P.M. CADEREYTA,SEDESOQ,INFRAESTRUCTURA,1124.43,M2 (PAVIMENTO CONCRETO),CONSTRUCTORA BARRERA SALINAS S DE RL,17/05/2019,14/08/2019,TERMINADO,100,2989983.05,FAFEF 2019,07Q,2989983.05,100,,0,0,,0,0,,0,0,,,,2992365.36,2989983.05,,,,
223,,2019-00223,"REHABILITACIÓN DE ENTRONQUE ZARAGOZA LATERAL BOULEVAR MANUEL GOMEZ MORIN, CABECERA MUNICIPAL, CADEREYTA DE MONTES, QRO.",CADEREYTA,CADEREYTA,,P.M. CADEREYTA,SEDESOQ,INFRAESTRUCTURA,794.77,M2(PAVIMENTO ASFALTICO),CONSTRUCTORA BARRERA SALINAS S DE RL,17/05/2019,14/08/2019,TERMINADO,100,1445396.71,FAFEF 2019,07Q,1445396.71,100,,0,0,,0,0,,0,0,,,,1445423.43,1445396.71,,,,
224,,2019-00224,SSC-AJM-1-2-121-HONORARIOS,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEGURIDAD,SEGURIDAD,SEGURIDAD,2,PERSONA,,,,APROBADO,,300000,FASP ESTATAL 2019,,0,0,47Q,300000,100,,0,0,,0,0,,,,0,100000,,,,
225,,2019-00225,SSC-PREV-1-1-121-HONORARIOS,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEGURIDAD,SEGURIDAD,SEGURIDAD,6,PERSONA,,,,APROBADO,,782460,FASP ESTATAL 2019,,0,0,47Q,782460,100,,0,0,,0,0,,,,0,217350,,,,
226,,2019-00226,SSC-VICTIMAS-4-5-121-HONORARIOS,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEGURIDAD,SEGURIDAD,SEGURIDAD,6,PERSONA,,,,APROBADO,,1296000,FASP ESTATAL 2019,,0,0,47Q,1296000,100,,0,0,,0,0,,,,0,555428.52,,,,
227,,2019-00227,SSC-CES-0-0-121-HONORARIOS,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEGURIDAD,SEGURIDAD,SEGURIDAD,8,PERSONA,,,,APROBADO,,1320000,FASP ESTATAL 2019,,0,0,47Q,1320000,100,,0,0,,0,0,,,,0,570287.9,,,,
228,,2019-00229,SSC-PREV-2-1-334-FORMACIÓN CONTINUA,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEGURIDAD,SEGURIDAD,SEGURIDAD,1,SERVICIOS,,,,APROBADO,100,480000,FASP ESTATAL 2019,,0,0,47Q,480000,100,,0,0,,0,0,,,,0,0,,,,
229,,2019-00230,"EMISIÓN 2018 - 2019 DEL PROGRAMA DE EST�?MULO A LA CREACIÓN Y DESARROLLO ART�?STICO, 2A MINISTRACIÓN",ALCANCE ESTATAL,ALCANCE ESTATAL,,CULTURA,CULTURA,CULTURA,27,APOYOS,,,,TERMINADO,100,159300,RAMO 48 PECDA 2019,60Q,159300,100,,0,0,,0,0,,0,0,,,,0,159300,,,,
230,,2019-00231,"SSC-PREV-1-1-441-GASTOS RELACIONADOS CON ACTIVIDADES CULTURALES, DEPORTIVAS Y DE AYUDA EXTRAORDINARIA",ALCANCE ESTATAL,ALCANCE ESTATAL,,SEGURIDAD,SEGURIDAD,SEGURIDAD,6270,PIEZAS,,,,APROBADO,100,1500000,FASP ESTATAL 2019,,0,0,47Q,1500000,100,,0,0,,0,0,,,,0,1485426.4,,,,
231,,2019-00232,"MEJORAMIENTO DE CALLE ROBLES, COLONIA JURICA CAMPESTRE, QUERÉTARO, QRO.",QUERETARO,JURICA,,CEIQ,SEDESOQ,INFRAESTRUCTURA,11219.22,M2 (EMPEDRADO),BICE CONSTRUCCION S.A. DE C.V.,29/05/2019,30/11/2019,APROBADO,44,24466161.57,ISN 2019,,0,0,08Q,24466161.57,100,,0,0,,0,0,,,,24466161.57,10808531.84,,,,
232,,2019-00233,"CONSTRUCCION DE TECHUMBRE EN PREESCOLAR RA MUDIHIATSI YA BATSI EN LA LOCALIDAD DE EL PINALITO, CADEREYTA DE MONTES, QRO.",CADEREYTA,"PINALITO, EL",,P.M. CADEREYTA,SEDESOQ,EDUCACION,160.08,M2 (TECHUMBRE),RUBIO ARTEAGA URIEL,03/06/2019,01/09/2019,APROBADO,100,599758.38,FAFEF 2019,07Q,599758.38,100,,0,0,,0,0,,0,0,,,,599758.38,571292.18,,,,
233,,2019-00234,"CONSTRUCCION DE TECHUMBRE EN PREESCOLAR YA BATSI DE MONDA EN LA LOCALIDAD DE ALTAMIRA, CADEREYTA DE MONTES, QRO.",CADEREYTA,ALTAMIRA (LA BONDOTITA),,P.M. CADEREYTA,SEDESOQ,EDUCACION,160.08,M2 (TECHUMBRE),ESTRADA ALEGRIA FRANCISCO JAVIER,03/06/2019,01/09/2019,APROBADO,100,599680.53,ISN 2019,,0,0,08Q,599680.53,100,,0,0,,0,0,,,,599680.53,572151.69,,,,
234,,2019-00235,"RESCATE DE ESPACIO DEPORTIVO PRIMERA ETAPA, UNIDAD DEPORTIVA CONC�?, ARROYO SECO",ARROYO SECO,CONCA,,P.M. ARROYO S.,SEDESOQ,DEPORTE,1,UNIDAD DEPORTIVA,TECNO CONSTRUCTORES ROCO S.A. DE C.V.,03/06/2019,27/09/2019,APROBADO,70,4494909.53,FAFEF 2019,07Q,4494909.53,100,,0,0,,0,0,,0,0,,,,4494909.53,2759630.71,,,,
235,,2019-00236,"RECALIBRACION EN L.D. Y R.D. EN LA LOCALIDAD DE LA SANGUIJUELA; ARROYO SECO, QRO.",ARROYO SECO,SANGUIJUELA,,P.M. ARROYO S.,SEDESOQ,INFRAESTRUCTURA,7,POSTES,GARCIA MONTES AZAEL ELOY,03/06/2019,27/09/2019,APROBADO,95,2499449.43,ISN 2019,,0,0,08Q,2499449.43,100,,0,0,,0,0,,,,2499449.43,1358491.5,,,,
236,,2019-00237,APORTACIÓN ESTATAL AL CONVENIO CON SADER DEL PROGRAMA DE CONCURRENCIA CON LAS ENTIDADES FEDERATIVAS.,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,834,PROYECTOS,,,,TERMINADO,100,40600000,ISN 2019,,0,0,08Q,40600000,100,,0,0,,0,0,,,,0,40600000,,,,
237,,2019-00238,"APORTACIÓN ESTATAL AL PROGRAMA DE APOYO A LA INFRAESTRUCTURA HIDROAGR�?COLA, COMPONENTE REHABILITACIÓN, MODERNIZACIÓN, TECNIFICACIÓN Y EQUIPAMIENTO DE UNIDADES DE RIEGO EN CONVENIO CON LA CONAGUA.",ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,320,HECTAREAS,,,,TERMINADO,100,11972454,ISN 2019,,0,0,08Q,11972454,100,,0,0,,0,0,,,,0,11972454,,,,
238,,2019-00239,"APORTACIÓN ESTATAL AL PROGRAMA DE APOYO A LA INFRAESTRUCTURA HIDROAGR�?COLA, DEL COMPONENTE REHABILITACIÓN , MODERNIZACIÓN Y TECNIFICACIÓN DE DISTRITOS DE RIEGO, EN CONVENIO CON LA CONAGUA.",ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,202,HECTAREAS,,,,TERMINADO,100,2888943,ISN 2019,,0,0,08Q,2888943,100,,0,0,,0,0,,,,0,2888943,,,,
239,,2019-00240,"APORTACIÓN ESTATAL AL PROGRAMA DE APOYO A LA INFRAESTRUCTURA HIDROAGR�?COLA, COMPONENTE EQUIPAMIENTO DE DISTRITOS DE RIEGO, EN CONVENIO CON LA CONAGUA.",ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,8703,HECTAREAS,,,,TERMINADO,100,1600000,ISN 2019,,0,0,08Q,1600000,100,,0,0,,0,0,,,,0,1600000,,,,
240,,2019-00241,"APORTACIÓN ESTATAL AL PROGRAMA DE APOYO A LA INFRAESTRUCTURA HIDROAGR�?COLA, DEL COMPONENTE DE RIEGO POR GRAVEDAD TECNIFICADO DEL DISTRITO DE RIEGO, EN CONVENIO CON LA CONAGUA.",ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,5300,HECTAREAS,,,,TERMINADO,100,1175625,ISN 2019,,0,0,08Q,1175625,100,,0,0,,0,0,,,,0,1175625,,,,
241,,2019-00242,APORTACIÓN ESTATAL AL CONVENIO CON SADER DEL PROGRAMA DE DESARROLLO RURAL.,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,16,PROYECTOS,,,,TERMINADO,100,12300000,ISN 2019,,0,0,08Q,12300000,100,,0,0,,0,0,,,,0,12300000,,,,
242,,2019-00243,APORTACIÓN ESTATAL AL CONVENIO CON LA SADER DEL ANEXO TÉCNICO DE EJECUCIÓN DEL SUBCOMPONENTE MODERNIZACIÓN DE EMBARCACIONES MENORES.,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,1,CONTRAPARTE,,,,TERMINADO,100,562500,ISN 2019,,0,0,08Q,562500,100,,0,0,,0,0,,,,0,562500,,,,
243,,2019-00244,APORTACIÓN ESTATAL AL CONVENIO CON SADER DEL SISTEMA NACIONAL DE INFORMACIÓN PARA EL DESARROLLO RURAL SUSTENTABLE (SNIDRUS). ,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,1,CONTRAPARTE,,,,TERMINADO,100,1854000,ISN 2019,,0,0,08Q,1854000,100,,0,0,,0,0,,,,0,1854000,,,,
244,,2019-00245,APOYO OPERATIVO A PROGRAMAS SOCIALES (CAPACITACIÓN),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,1,SERVICIOS,,,,APROBADO,2,4000000,ISN 2019,,0,0,08Q,4000000,100,,0,0,,0,0,,,,0,0,,,,
245,,2019-00246,APOYO OPERATIVO A PROGRAMAS SOCIALES (MATERIALES Y SUMINISTROS),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,1,PAQUETE MATERIALES,,,,APROBADO,3,720822.43,ISN 2019,,0,0,08Q,720822.43,100,,0,0,,0,0,,,,0,0,,,,
246,,2019-00247,APOYO OPERATIVO A PROGRAMAS SOCIALES (LONAS),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,2,PAQUETE,,,,APROBADO,1,4147784.16,ISN 2019,,0,0,08Q,4147784.16,100,,0,0,,0,0,,,,0,3994900.8,,,,
247,,2019-00248,APOYO OPERATIVO A PROGRAMAS SOCIALES (UNIFORMES),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,1,PAQUETE,,,,APROBADO,50,495997.44,ISN 2019,,0,0,08Q,495997.44,100,,0,0,,0,0,,,,0,0,,,,
248,,2019-00249,"URBANIZACIÓN DE CALLES SEGUNDA ETAPA EN COLONIA COLINAS DE MENCHACA, QUERÉTARO, QRO",QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,INFRAESTRUCTURA,7360,METROS CUADRADOS,CONSTRUCTORA DE ESPACIOS INDUSTRIALES Y HABITACIONALES S.A. DE C.V.,17/06/2019,13/11/2019,APROBADO,20,16168076.52,ISN 2019,,0,0,08Q,16168076.52,100,,0,0,,0,0,,,,16168076.52,5419208.17,,,,
249,,2019-00250,APOYO OPERATIVO A PROGRAMAS SOCIALES (MATERIAL Y EQUIPO DE ADMINISTRACIÓN),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,1,PAQUETE MATERIALES,,,,APROBADO,2,42893.97,ISN 2019,,0,0,08Q,42893.97,100,,0,0,,0,0,,,,0,0,,,,
250,,2019-00252,"2DA ETAPA DE EMPEDRADO DE CALLE DE ACCESO A LAS ESCUELAS DEL PUNTO 0 + 0.000 AL 0 + 340.00 DE LA COMUNIDIDAD DE EL APARTADERO, AMEALCO, QRO.",AMEALCO,"APARTADERO, EL",,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,116.5,M2(BANQUETAS DE CONCRETO),GARCIA ARZATE SERGIO,28/05/2019,26/08/2019,TERMINADO,100,599977.88,FAFEF 2019,07Q,599977.88,100,,0,0,,0,0,,0,0,,,,599977.88,599977.86,,,,
251,,2019-00253,"EMPEDRADO DEL KM. 0+560 AL KM 0+237.5 DEL CAMINO A LA CAPILLA, EN LA LOCALIDAD DE CHITEJE DE LA CRUZ, AMEALCO, QRO.",AMEALCO,CHITEJE DE LA CRUZ,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1413.28,METROS CUADRADOS,GARFIAS VAZQUEZ DANIELA,28/05/2019,26/08/2019,TERMINADO,100,598305.16,FAFEF 2019,07Q,598305.16,100,,0,0,,0,0,,0,0,,,,598305.16,598305.16,,,,
252,,2019-00254,"CONTINUACIÓN DE TRABAJOS DE EMPEDRADO EN CAMINO DE ACCESO A  JACAL DE LA PIEDAD, DEL KM 0+614 AL KM.0+956.70, UBICADO EN LA COMUNIDAD DE JACAL DE LA PIEDAD, AMEALCO, QRO.",AMEALCO,JACAL DE LA PIEDAD,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,2192.4,METROS CUADRADOS,BAUTISTA ARIAS JOSE LENY,28/05/2019,26/08/2019,TERMINADO,100,599970.15,FAFEF 2019,07Q,599970.15,100,,0,0,,0,0,,0,0,,,,599970.15,599970.15,,,,
253,,2019-00255,"EMPEDRADO DE CAMINO  BARRIO EL BARCO, DEL KM  0+000.00 AL 0+334.00 EN LA LOCALIDAD DE SAN MIGUEL TLAXCALTEPEC, AMEALCO, QRO.",AMEALCO,BARRIO DEL BARCO (SAN MIGUEL TLAXCALTEPEC),,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1670,METROS CUADRADOS,SILVA ALVAREZ MIGUEL,28/05/2019,26/08/2019,TERMINADO,100,559999.89,FAFEF 2019,07Q,559999.89,100,,0,0,,0,0,,0,0,,,,559999.89,559999.88,,,,
254,,2019-00256,"EMPEDRADO DE CAMINO TSIÑE  DEL KM 0+000 AL 0+240 EN LA LOCALIDAD DE SANTIAGO MEXQUITITLAN BARRIO 3RO, AMEALCO, QRO.",AMEALCO,SANTIAGO MEXQUITITLAN BARRIO 3RO.,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1503,METROS CUADRADOS,FLORES VAZQUEZ JOVANE,28/05/2019,26/08/2019,TERMINADO,100,598041,FAFEF 2019,07Q,598041,100,,0,0,,0,0,,0,0,,,,598041,598041,,,,
255,,2019-00257,"EMPEDRADO DE CAMINO  EN BARRIO SEGUNDO DEL KM 0+000 AL 0+209.50 EN LA LOCALIDAD DE SANTIAGO MEXQUITITLAN, AMEALCO, QRO.",AMEALCO,SANTIAGO MEXQUITITLAN BARRIO 2DO.,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1377,METROS CUADRADOS,GARCIA ZEPEDA J. ANTOLIN,28/05/2019,26/08/2019,TERMINADO,100,596506.03,FAFEF 2019,07Q,596506.03,100,,0,0,,0,0,,0,0,,,,596506.03,596506.03,,,,
256,,2019-00258,"EMPEDRADO DE CAMINO  A EL PASTOREO, DEL TRAMO DE  0+000.00 AL 0+397.50 EN LA LOCALIDAD DE SANTIAGO MEXQUITITLAN BARRIO 5TO, AMEALCO, QRO.",AMEALCO,SANTIAGO MEXQUITITLAN BARR.5TO. (EL PASTOREO),,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,2385,METROS CUADRADOS,VAZQUEZ JIMENEZ INOCENCIA,28/05/2019,26/08/2019,TERMINADO,100,599999.98,FAFEF 2019,07Q,599999.98,100,,0,0,,0,0,,0,0,,,,599999.98,599999.98,,,,
257,,2019-00259,"EMPEDRADO DE CALLE  GUADALUPE VICTORIA  EN CHITEJE DE GARABATO EN EL TRAMO COMPRENDIDO  DEL PUNTO  0 + 000 AL PUNTO 0 + 394.00 EN LA LOCALIDAD DE CHITEJE DE GARABATO, AMEALCO, QRO.",AMEALCO,CHITEJE DE GARABATO,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,2222.6,METROS CUADRADOS,VAZQUEZ JIMENEZ  MA. GUADALUPE,28/05/2019,26/08/2019,APROBADO,100,628507.4,FAFEF 2019,07Q,628507.4,100,,0,0,,0,0,,0,0,,,,628507.4,628507.4,,,,
258,,2019-00260,"EMPEDRADO DEL KM.0+000 AL KM 0+ 987.00 DEL CAMINO A LA LOCALIDAD DE SAN MIGUEL TLAXCALTEPEC, AMEALCO, QRO.",AMEALCO,BARRIO DE LA CRUZ (SAN MIGUEL TLAXCALTEPEC),,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,831,ML (CUNETA),CONSTRUCCIONES INTERESTATALES S.A. DE C.V.,01/07/2019,27/11/2019,APROBADO,90,641654.58,ISN 2018-2,,0,0,92P,641654.58,100,,0,0,,0,0,,,,2138848.62,641654.58,,,,
259,,2019-00260,"EMPEDRADO DEL KM.0+000 AL KM 0+ 987.00 DEL CAMINO A LA LOCALIDAD DE SAN MIGUEL TLAXCALTEPEC, AMEALCO, QRO.",AMEALCO,BARRIO DE LA CRUZ (SAN MIGUEL TLAXCALTEPEC),,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,831,ML (CUNETA),CONSTRUCCIONES INTERESTATALES S.A. DE C.V.,01/07/2019,27/11/2019,APROBADO,90,1497194.04,ISN EMPRESA,,0,0,21E,1497194.04,100,,0,0,,0,0,,,,2138848.62,0,,,,
260,,2019-00261,"EMPEDRADO DEL KM.0+000 AL KM 0+385.50 DEL CAMINO AL PANTEÓN, EN LA LOCALIDAD DE SAN JUAN DEHEDO, AMEALCO, QRO.",AMEALCO,SAN JUAN DEHEDO,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,2313,METROS CUADRADOS,GARFIAS VAZQUEZ ADRIAN,28/05/2019,26/08/2019,TERMINADO,100,599275.86,FAFEF 2019,07Q,599275.86,100,,0,0,,0,0,,0,0,,,,599275.86,599275.86,,,,
261,,2019-00262,"EMPEDRADO DE CAMINO  EL CARMEN, DEL TRAMO DE  0+000.00 AL 0+230.50 EN LA LOCALIDAD DE SANTIAGO MEXQUITITLAN BARRIO 6TO, AMEALCO, QRO.",AMEALCO,"CARMEN, EL (STGO. MEXQUITITLAN BARRIO 6TO.)",,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1383,METROS CUADRADOS,MARTINEZ VAZQUEZ JONATHAN,28/05/2019,26/08/2019,APROBADO,100,598898.83,FAFEF 2019,07Q,598898.83,100,,0,0,,0,0,,0,0,,,,598898.83,598898.83,,,,
262,,2019-00263,"EMPEDRADO DEL KM.0+000 AL KM 0+ 429.00 DEL CAMINO A LA LOCALIDAD DE SAN MART�?N, AMEALCO, QRO.",AMEALCO,"RINCON, EL",,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,2034.31,METROS CUADRADOS,VEGA ANAYA BELIA,28/05/2019,26/08/2019,TERMINADO,100,599999.99,FAFEF 2019,07Q,599999.99,100,,0,0,,0,0,,0,0,,,,599999.99,599999.99,,,,
263,,2019-00264,"EMPEDRADO DE CAMINO A EL RINCON, DEL KM  0+583.00 AL 1+141.00 EN LA LOCALIDAD DE SAN MARTIN, AMEALCO, QRO.",AMEALCO,SAN MARTIN,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,3348,METROS CUADRADOS,GARFIAS ARIAS OSCAR,28/05/2019,26/08/2019,TERMINADO,100,600000,FAFEF 2019,07Q,600000,100,,0,0,,0,0,,0,0,,,,600000,600000,,,,
264,,2019-00265,"EMPEDRADO DE CALLE LAS LAJAS  EN BARRIO 4TO EN EL TRAMO COMPRENDIDO  DEL KM 0 + 000 AL 0 + 360.00 EN LA LOCALIDAD DE SANTIAGO MEXQUITITLAN, AMEALCO, QRO",AMEALCO,SANTIAGO MEXQUITITLAN BARRIO 4TO.,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,2365.6,METROS CUADRADOS,MIRIAM VAZQUEZ FLORES,28/05/2019,26/08/2019,TERMINADO,100,599999.99,FAFEF 2019,07Q,599999.99,100,,0,0,,0,0,,0,0,,,,599999.99,599999.99,,,,
265,,2019-00266,"CONSTRUCCIÓN DE EMPEDRADO EMPACADO CON MORTERO EN CALLE RAYMUNDO MONTES, EN LA LOCALIDAD DE LA PUR�?SIMA, EZEQUIEL MONTES, QRO.",EZEQUIEL MONTES,"PURISIMA, LA",,P.M. E. MONTES,SEDESOQ,INFRAESTRUCTURA,5233.94,M2 (EMPEDRADO),VEGA MARTINEZ JORGE ARMANDO,12/06/2019,09/10/2019,APROBADO,80,2824641,ISN EMPRESA,,0,0,21E,2824641,100,,0,0,,0,0,,,,4990874.17,1168761.5,,,,
266,,2019-00266,"CONSTRUCCIÓN DE EMPEDRADO EMPACADO CON MORTERO EN CALLE RAYMUNDO MONTES, EN LA LOCALIDAD DE LA PUR�?SIMA, EZEQUIEL MONTES, QRO.",EZEQUIEL MONTES,"PURISIMA, LA",,P.M. E. MONTES,SEDESOQ,INFRAESTRUCTURA,5233.94,M2 (EMPEDRADO),VEGA MARTINEZ JORGE ARMANDO,12/06/2019,09/10/2019,APROBADO,80,2166233.17,ISN 2018-2,,0,0,92P,2166233.17,100,,0,0,,0,0,,,,4990874.17,2166233.17,,,,
267,,2019-00267,"MODERNIZACIÓN DE UNIDAD DEPORTIVA ARMANDO PIÑA CABECERA MPAL PEDRO ESCOBEDO, 2DA ETAPA",PEDRO ESCOBEDO,PEDRO ESCOBEDO,,P.M. P. ESCOBEDO,SEDESOQ,DEPORTE,3,CANCHAS,GARCIA ZEPEDA J. ANTOLIN,24/06/2019,01/10/2019,APROBADO,57,2544453.67,ISN 2018-2,,0,0,92P,2544453.67,100,,0,0,,0,0,,,,3991280.43,2544453.67,,,,
268,,2019-00267,"MODERNIZACIÓN DE UNIDAD DEPORTIVA ARMANDO PIÑA CABECERA MPAL PEDRO ESCOBEDO, 2DA ETAPA",PEDRO ESCOBEDO,PEDRO ESCOBEDO,,P.M. P. ESCOBEDO,SEDESOQ,DEPORTE,3,CANCHAS,GARCIA ZEPEDA J. ANTOLIN,24/06/2019,01/10/2019,APROBADO,57,1446826.76,ISN EMPRESA,,0,0,21E,1446826.76,100,,0,0,,0,0,,,,3991280.43,0,,,,
269,,2019-00268,AMPLIACIÓN DE RED DE DISTRIBUCIÓN DE ENERG�?A ELÉCTRICA EN LA COMUNIDAD DE LAGUNA DE PITZQUINTLA JALPAN DE SERRA QRO - 47066,JALPAN,LAGUNA DE PITZQUINTLA,,P.M. JALPAN,SEDESOQ,INFRAESTRUCTURA,17,POSTES,TREJO AGUILAR DIANA ARIADNE,20/06/2019,20/09/2019,APROBADO,80,1239119.35,FISE 2019,05Q,1239119.35,100,,0,0,,0,0,,0,0,,,,1239119.35,1068212.47,,,,
270,,2019-00269,AMPLIACIÓN DE RED DE DISTRIBUCIÓN DE ENERG�?A ELÉCTRICA EN LA COMUNIDAD DE CUESTA DE TIMBAL JALPAN DE SERRA QRO - 46639,JALPAN,CUESTA DE TIMBAL,,P.M. JALPAN,SEDESOQ,INFRAESTRUCTURA,17,POSTES,GARCIA MONTES AZAEL ELOY,21/06/2019,21/09/2019,APROBADO,89,1041987.84,FISE 2019,05Q,1041987.84,100,,0,0,,0,0,,0,0,,,,1041987.84,962803.79,,,,
271,,2019-00270,AMPLIACIÓN DE RED DE DISTRIBUCIÓN DE ENERG�?A ELÉCTRICA EN TANCAMA JALPAN DE SERRA QRO - 46510,JALPAN,TANCAMA,,P.M. JALPAN,SEDESOQ,INFRAESTRUCTURA,6,POSTES,RIVERA DIAZ BRIGIDO,23/06/2019,23/09/2019,APROBADO,73,495469.96,FISE 2019,05Q,495469.96,100,,0,0,,0,0,,0,0,,,,495469.96,360388.85,,,,
272,,2019-00271,"PAVIMENTACION DE CALLE MICHOACAN Y CALLE INDEPENDENCIA EN COL. LAS AURORAS, JALPAN DE SERRA, QRO.",JALPAN,JALPAN,,P.M. JALPAN,SEDESOQ,INFRAESTRUCTURA,1337.63,M2 (PAVIMENTO CONCRETO),RAMIREZ PLAZA LILIANA TERESITA,17/06/2019,17/09/2019,APROBADO,38,917857.35,ISN 2018-2,,0,0,92P,917857.35,100,,0,0,,0,0,,,,2634711.53,917857.35,,,,
273,,2019-00271,"PAVIMENTACION DE CALLE MICHOACAN Y CALLE INDEPENDENCIA EN COL. LAS AURORAS, JALPAN DE SERRA, QRO.",JALPAN,JALPAN,,P.M. JALPAN,SEDESOQ,INFRAESTRUCTURA,1337.63,M2 (PAVIMENTO CONCRETO),RAMIREZ PLAZA LILIANA TERESITA,17/06/2019,17/09/2019,APROBADO,38,1716854.18,ISN EMPRESA,,0,0,21E,1716854.18,100,,0,0,,0,0,,,,2634711.53,0,,,,
274,,2019-00272,"EMPEDRADO CON PIEDRA BOLA AHOGADA EN MORTERO EN  LA CALLE PEÑITAS 2DA ETAPA, EN LA LOCALIDAD DE LA ESPERANZA, COLON, QRO.",COLON,ESPERANZA,,P.M. COLON,SEDESOQ,INFRAESTRUCTURA,1933.5,M2 (EMPEDRADO),ALTAN GOMEZ LUIGI,24/06/2019,06/09/2019,APROBADO,30,1336916.45,FAFEF 2019,07Q,1336916.45,100,,0,0,,0,0,,0,0,,,,1336916.45,401074.93,,,,
275,,2019-00273,"CONSTRUCCION DE EMPEDRADO DE PIEDRA BOLA AHOGADA EN MORTERO HACIA EL PREESCOLAR, EN LA LOCALIDAD DE LA CARBONERA,COLON,QRO",COLON,"CARBONERA, LA",,P.M. COLON,SEDESOQ,INFRAESTRUCTURA,2521.2,M2 (PAVIMENTO CONCRETO),HERRERA HERNANDEZ DANIEL,24/06/2019,06/10/2019,APROBADO,96,1398327.6,ISN EMPRESA,,0,0,21E,1398327.6,100,,0,0,,0,0,,,,1398327.6,1310136.96,,,,
276,,2019-00274,"CONSTRUCCIÓN DE ARCOTECHO EN CANCHA DE USOS MÚLTIPLES, Y REHABILITACION DE EXPLANADA EN BARRIO DEL TEPETATE,COLON,QRO",COLON,COLON,,P.M. COLON,SEDESOQ,INFRAESTRUCTURA,315.23,M2 (TECHUMBRE),MONTES VEGA ENRIQUE,24/06/2019,06/09/2019,APROBADO,80,1144921.85,FAFEF 2019,07Q,1144921.85,100,,0,0,,0,0,,0,0,,,,1144921.85,493511.87,,,,
